House,Time,TV,Agg,hour,half_hour,quarter_hour,hour_float,TV_min,TV_max,max_consumption,half_consumption_power,on_threshold,on,Agg_diff,switched_on_tv
3,546.0,65.592,68.116,9,18,36,9.1,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.6110000000000042,0
3,547.0,64.782,67.66399999999999,9,18,36,9.116666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.4520000000000124,0
3,548.0,62.14,64.77799999999999,9,18,36,9.133333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.8859999999999957,0
3,549.0,65.885,68.1,9,18,36,9.15,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.3220000000000027,0
3,550.0,67.108,69.123,9,18,36,9.166666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.0230000000000103,0
3,551.0,67.479,69.69700000000002,9,18,36,9.183333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.5740000000000123,0
3,552.0,66.57600000000001,69.203,9,18,36,9.2,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.494000000000014,0
3,553.0,71.107,73.133,9,18,36,9.216666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.9299999999999926,0
3,554.0,70.21300000000001,73.325,9,18,36,9.233333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.19200000000000728,0
3,555.0,69.236,71.49300000000002,9,18,37,9.25,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.8319999999999794,0
3,556.0,68.66199999999999,71.48500000000001,9,18,37,9.266666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.008000000000009777,0
3,557.0,67.99,70.821,9,18,37,9.283333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.6640000000000157,0
3,558.0,67.994,70.66,9,18,37,9.3,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.16100000000000136,0
3,559.0,68.587,70.87000000000002,9,18,37,9.316666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.21000000000002217,0
3,560.0,67.528,70.164,9,18,37,9.333333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.7060000000000173,0
3,561.0,68.333,70.64999999999998,9,18,37,9.35,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.4859999999999758,0
3,562.0,60.335,62.049,9,18,37,9.366666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-8.600999999999978,0
3,563.0,66.298,69.0,9,18,37,9.383333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,6.9510000000000005,0
3,564.0,63.583,66.128,9,18,37,9.4,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.872,0
3,565.0,67.643,70.072,9,18,37,9.416666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.9440000000000026,0
3,566.0,65.47,68.03699999999999,9,18,37,9.433333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.035000000000011,0
3,567.0,64.513,66.91600000000003,9,18,37,9.45,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.1209999999999667,0
3,568.0,65.637,67.267,9,18,37,9.466666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.35099999999997067,0
3,569.0,64.971,67.14200000000001,9,18,37,9.483333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.12499999999998579,0
3,570.0,63.797,66.051,9,19,38,9.5,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.0910000000000082,0
3,571.0,65.03699999999999,66.90700000000001,9,19,38,9.516666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.8560000000000088,0
3,572.0,64.39,67.31200000000001,9,19,38,9.533333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.40500000000000114,0
3,573.0,63.141999999999996,93.286,9,19,38,9.55,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,25.97399999999999,0
3,574.0,66.419,98.15800000000002,9,19,38,9.566666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,4.872000000000014,0
